STOK_KODU,STOK_ADI,GRUP_KODU,GRUP_ADI,KOD_1,AD1,KOD_2,AD2,KOD_3,AD3,KOD_4,AD4,KOD_5,AD5
M00272,YUVARLAK KUTU 073-062 VERNIKLI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA5,Endüstriyel,073-062,Kalıp 073-062,B2,Vernikli,P2,2 Parça
M00273,YUVARLAK KUTU 073-062 HAM TENEKE 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA5,Endüstriyel,073-062,Kalıp 073-062,B3,Ham Teneke,P2,2 Parça
M00274,KARE KUTU 168-142 VERNIKLI 2 PARÇA,01,Mamul,SK03,Kare Kutu,KA6,Bal-Reçel,168-142,Kalıp 168-142,B2,Vernikli,P2,2 Parça
M00275,KARE KUTU 132-108 LITOGRAFI 3 PARÇA,01,Mamul,SK03,Kare Kutu,KA6,Bal-Reçel,132-108,Kalıp 132-108,B1,Litografi,P3,3 Parça
M00276,OVAL KUTU 128-066 HAM TENEKE 3 PARÇA,01,Mamul,SK05,Oval Kutu,KA6,Bal-Reçel,128-066,Kalıp 128-066,B3,Ham Teneke,P3,3 Parça
M00277,YUVARLAK KUTU 153-118 MAT LAK 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,153-118,Kalıp 153-118,B4,Mat Lak,P3,3 Parça
M00278,OVAL KUTU 164-092 VERNIKLI 3 PARÇA,01,Mamul,SK05,Oval Kutu,KA1,Gıda,164-092,Kalıp 164-092,B2,Vernikli,P3,3 Parça
M00279,TEPSI 268-044 HAM TENEKE 3 PARÇA,01,Mamul,SK11,Tepsi,KA2,Boya-Kimya,268-044,Kalıp 268-044,B3,Ham Teneke,P3,3 Parça
M00280,YUVARLAK KUTU 099-084 MAT LAK 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA2,Boya-Kimya,099-084,Kalıp 099-084,B4,Mat Lak,P2,2 Parça
M00281,YUVARLAK-SIVAMA KUTU 112-096 MAT LAK 2 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA3,Kozmetik,112-096,Kalıp 112-096,B4,Mat Lak,P2,2 Parça
M00282,KOSELI SIVAMA KUTU 126-086 VERNIKLI 2 PARÇA,01,Mamul,SK10,Koseli Sivama Kutu,KA1,Gıda,126-086,Kalıp 126-086,B2,Vernikli,P2,2 Parça
M00283,KARE KUTU 168-142 HAM TENEKE 3 PARÇA,01,Mamul,SK03,Kare Kutu,KA6,Bal-Reçel,168-142,Kalıp 168-142,B3,Ham Teneke,P3,3 Parça
M00284,OVAL KUTU 128-066 VERNIKLI 2 PARÇA,01,Mamul,SK05,Oval Kutu,KA5,Endüstriyel,128-066,Kalıp 128-066,B2,Vernikli,P2,2 Parça
M00285,KARE KUTU 168-142 MAT LAK 2 PARÇA,01,Mamul,SK03,Kare Kutu,KA6,Bal-Reçel,168-142,Kalıp 168-142,B4,Mat Lak,P2,2 Parça
M00286,SEKILLI KUTU 146-112 HAM TENEKE 3 PARÇA,01,Mamul,SK08,Sekilli Kutu,KA1,Gıda,146-112,Kalıp 146-112,B3,Ham Teneke,P3,3 Parça
M00287,YUVARLAK KUTU 073-062 LITOGRAFI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA4,Hediyelik,073-062,Kalıp 073-062,B1,Litografi,P3,3 Parça
M00288,YUVARLAK KUTU 099-084 VERNIKLI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA4,Hediyelik,099-084,Kalıp 099-084,B2,Vernikli,P3,3 Parça
M00289,DIKDORTGEN KUTU 192-124 MAT LAK 3 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA6,Bal-Reçel,192-124,Kalıp 192-124,B4,Mat Lak,P3,3 Parça
M00290,TEPSI 216-032 VERNIKLI 2 PARÇA,01,Mamul,SK11,Tepsi,KA4,Hediyelik,216-032,Kalıp 216-032,B2,Vernikli,P2,2 Parça
M00291,DIKDORTGEN KUTU 192-124 VERNIKLI 2 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA4,Hediyelik,192-124,Kalıp 192-124,B2,Vernikli,P2,2 Parça
M00292,OVAL KUTU 164-092 VERNIKLI 3 PARÇA,01,Mamul,SK05,Oval Kutu,KA5,Endüstriyel,164-092,Kalıp 164-092,B2,Vernikli,P3,3 Parça
M00293,KARE KUTU 168-142 VERNIKLI 3 PARÇA,01,Mamul,SK03,Kare Kutu,KA5,Endüstriyel,168-142,Kalıp 168-142,B2,Vernikli,P3,3 Parça
M00294,DIKDORTGEN KUTU 118-058 MAT LAK 2 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA3,Kozmetik,118-058,Kalıp 118-058,B4,Mat Lak,P2,2 Parça
M00295,DIKDORTGEN KUTU 156-082 LITOGRAFI 3 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA2,Boya-Kimya,156-082,Kalıp 156-082,B1,Litografi,P3,3 Parça
M00296,YUVARLAK KUTU 153-118 LITOGRAFI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA2,Boya-Kimya,153-118,Kalıp 153-118,B1,Litografi,P3,3 Parça
M00297,SEKILLI KUTU 114-076 LITOGRAFI 3 PARÇA,01,Mamul,SK08,Sekilli Kutu,KA2,Boya-Kimya,114-076,Kalıp 114-076,B1,Litografi,P3,3 Parça
M00298,YUVARLAK KUTU 099-084 LITOGRAFI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,099-084,Kalıp 099-084,B1,Litografi,P3,3 Parça
M00299,YUVARLAK KUTU 153-118 HAM TENEKE 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,153-118,Kalıp 153-118,B3,Ham Teneke,P2,2 Parça
M00300,KAPAK 084-022 HAM TENEKE 3 PARÇA,01,Mamul,SK12,Kapak,KA4,Hediyelik,084-022,Kalıp 084-022,B3,Ham Teneke,P3,3 Parça
M00301,SEKIZGEN KUTU 174-128 HAM TENEKE 2 PARÇA,01,Mamul,SK07,Sekizgen Kutu,KA2,Boya-Kimya,174-128,Kalıp 174-128,B3,Ham Teneke,P2,2 Parça
M00302,YUVARLAK KUTU 099-084 LITOGRAFI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA1,Gıda,099-084,Kalıp 099-084,B1,Litografi,P3,3 Parça
M00303,YUVARLAK KUTU 073-062 LITOGRAFI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA5,Endüstriyel,073-062,Kalıp 073-062,B1,Litografi,P2,2 Parça
M00304,YUVARLAK KUTU 073-062 VERNIKLI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,073-062,Kalıp 073-062,B2,Vernikli,P2,2 Parça
M00305,DIKDORTGEN KUTU 156-082 VERNIKLI 2 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA4,Hediyelik,156-082,Kalıp 156-082,B2,Vernikli,P2,2 Parça
M00306,YUVARLAK KUTU 099-084 LITOGRAFI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA4,Hediyelik,099-084,Kalıp 099-084,B1,Litografi,P2,2 Parça
M00307,DIKDORTGEN KUTU 156-082 MAT LAK 2 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA4,Hediyelik,156-082,Kalıp 156-082,B4,Mat Lak,P2,2 Parça
M00308,YUVARLAK KUTU 153-118 VERNIKLI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA4,Hediyelik,153-118,Kalıp 153-118,B2,Vernikli,P3,3 Parça
M00309,YUVARLAK-SIVAMA KUTU 088-071 VERNIKLI 2 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA3,Kozmetik,088-071,Kalıp 088-071,B2,Vernikli,P2,2 Parça
M00310,KARE KUTU 105-072 LITOGRAFI 3 PARÇA,01,Mamul,SK03,Kare Kutu,KA4,Hediyelik,105-072,Kalıp 105-072,B1,Litografi,P3,3 Parça
M00311,YUVARLAK KUTU 073-062 LITOGRAFI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,073-062,Kalıp 073-062,B1,Litografi,P3,3 Parça
M00312,YUVARLAK-SIVAMA KUTU 112-096 VERNIKLI 3 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA6,Bal-Reçel,112-096,Kalıp 112-096,B2,Vernikli,P3,3 Parça
M00313,KOSELI SIVAMA KUTU 158-114 HAM TENEKE 3 PARÇA,01,Mamul,SK10,Koseli Sivama Kutu,KA1,Gıda,158-114,Kalıp 158-114,B3,Ham Teneke,P3,3 Parça
M00314,KARE KUTU 105-072 MAT LAK 3 PARÇA,01,Mamul,SK03,Kare Kutu,KA3,Kozmetik,105-072,Kalıp 105-072,B4,Mat Lak,P3,3 Parça
M00315,YUVARLAK KUTU 153-118 MAT LAK 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA5,Endüstriyel,153-118,Kalıp 153-118,B4,Mat Lak,P3,3 Parça
M00316,TEL MEKANIZMALI KUTU 176-132 MAT LAK 3 PARÇA,01,Mamul,SK15,Tel Mekanizmali Kutu,KA1,Gıda,176-132,Kalıp 176-132,B4,Mat Lak,P3,3 Parça
M00317,DIKDORTGEN KUTU 118-058 LITOGRAFI 3 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA5,Endüstriyel,118-058,Kalıp 118-058,B1,Litografi,P3,3 Parça
M00318,SEKILLI KUTU 146-112 VERNIKLI 3 PARÇA,01,Mamul,SK08,Sekilli Kutu,KA1,Gıda,146-112,Kalıp 146-112,B2,Vernikli,P3,3 Parça
M00319,OVAL KUTU 128-066 VERNIKLI 3 PARÇA,01,Mamul,SK05,Oval Kutu,KA3,Kozmetik,128-066,Kalıp 128-066,B2,Vernikli,P3,3 Parça
M00320,YUVARLAK-SIVAMA KUTU 088-071 MAT LAK 3 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA3,Kozmetik,088-071,Kalıp 088-071,B4,Mat Lak,P3,3 Parça
M00321,SEKILLI KUTU 186-148 LITOGRAFI 2 PARÇA,01,Mamul,SK08,Sekilli Kutu,KA3,Kozmetik,186-148,Kalıp 186-148,B1,Litografi,P2,2 Parça
M00322,SEKIZGEN KUTU 174-128 VERNIKLI 2 PARÇA,01,Mamul,SK07,Sekizgen Kutu,KA2,Boya-Kimya,174-128,Kalıp 174-128,B2,Vernikli,P2,2 Parça
M00323,OVAL KUTU 208-136 MAT LAK 2 PARÇA,01,Mamul,SK05,Oval Kutu,KA4,Hediyelik,208-136,Kalıp 208-136,B4,Mat Lak,P2,2 Parça
M00324,OVAL KUTU 128-066 MAT LAK 3 PARÇA,01,Mamul,SK05,Oval Kutu,KA2,Boya-Kimya,128-066,Kalıp 128-066,B4,Mat Lak,P3,3 Parça
M00325,OVAL KUTU 164-092 LITOGRAFI 2 PARÇA,01,Mamul,SK05,Oval Kutu,KA4,Hediyelik,164-092,Kalıp 164-092,B1,Litografi,P2,2 Parça
M00326,SEKILLI KUTU 146-112 HAM TENEKE 3 PARÇA,01,Mamul,SK08,Sekilli Kutu,KA6,Bal-Reçel,146-112,Kalıp 146-112,B3,Ham Teneke,P3,3 Parça
M00327,KAPAK 116-028 LITOGRAFI 2 PARÇA,01,Mamul,SK12,Kapak,KA2,Boya-Kimya,116-028,Kalıp 116-028,B1,Litografi,P2,2 Parça
M00328,KARE KUTU 168-142 VERNIKLI 3 PARÇA,01,Mamul,SK03,Kare Kutu,KA2,Boya-Kimya,168-142,Kalıp 168-142,B2,Vernikli,P3,3 Parça
M00329,TEPSI 268-044 MAT LAK 2 PARÇA,01,Mamul,SK11,Tepsi,KA6,Bal-Reçel,268-044,Kalıp 268-044,B4,Mat Lak,P2,2 Parça
M00330,YUVARLAK KUTU 099-084 LITOGRAFI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA1,Gıda,099-084,Kalıp 099-084,B1,Litografi,P2,2 Parça
H00001,"TENEKE SAC 0,18MM",02,Hammadde,HM,Hammadde,HM1,Sac,,,,,,
H00002,"TENEKE SAC 0,20MM",02,Hammadde,HM,Hammadde,HM1,Sac,,,,,,
H00003,"TENEKE SAC 0,22MM",02,Hammadde,HM,Hammadde,HM1,Sac,,,,,,
H00004,"KROM SAC 0,25MM",02,Hammadde,HM,Hammadde,HM1,Sac,,,,,,
H00005,BEYAZ VERNIK,02,Hammadde,HM,Hammadde,HM1,Kimyasal,,,,,,
H00006,ALTIN VERNIK,02,Hammadde,HM,Hammadde,HM1,Kimyasal,,,,,,
H00007,OFSET MÜREKKEP CYAN,02,Hammadde,HM,Hammadde,HM1,Kimyasal,,,,,,
H00008,OFSET MÜREKKEP MAGENTA,02,Hammadde,HM,Hammadde,HM1,Kimyasal,,,,,,
H00009,OFSET MÜREKKEP SARI,02,Hammadde,HM,Hammadde,HM1,Kimyasal,,,,,,
H00010,OFSET MÜREKKEP SIYAH,02,Hammadde,HM,Hammadde,HM1,Kimyasal,,,,,,
H00011,CONTA BILEŞIMI,02,Hammadde,HM,Hammadde,HM1,Kimyasal,,,,,,
H00012,TINER,02,Hammadde,HM,Hammadde,HM1,Kimyasal,,,,,,
H00013,KALIP YAĞI,02,Hammadde,HM,Hammadde,HM1,Kimyasal,,,,,,
H00014,LEHIM TELI,02,Hammadde,HM,Hammadde,HM1,Kimyasal,,,,,,
H00015,ASTAR BOYA,02,Hammadde,HM,Hammadde,HM1,Kimyasal,,,,,,
H00016,KORUYUCU FILM,02,Hammadde,HM,Hammadde,HM1,Kimyasal,,,,,,
D00001,OLUKLU KOLI 40X30X25,03,DIGER,DG,Diğer,DG1,Yardımcı Malzeme,,,,,,
D00002,OLUKLU KOLI 60X40X30,03,DIGER,DG,Diğer,DG1,Yardımcı Malzeme,,,,,,
D00003,STREÇ FILM 500MM,03,DIGER,DG,Diğer,DG1,Yardımcı Malzeme,,,,,,
D00004,AHŞAP PALET 80X120,03,DIGER,DG,Diğer,DG1,Yardımcı Malzeme,,,,,,
D00005,ETIKET RULO 100X50,03,DIGER,DG,Diğer,DG1,Yardımcı Malzeme,,,,,,
D00006,BANT 48MM,03,DIGER,DG,Diğer,DG1,Yardımcı Malzeme,,,,,,
D00007,ARA KARTON,03,DIGER,DG,Diğer,DG1,Yardımcı Malzeme,,,,,,
D00008,ÇEMBER 12MM,03,DIGER,DG,Diğer,DG1,Yardımcı Malzeme,,,,,,
D00009,KALIP YEDEK ZIMBA,03,DIGER,DG,Diğer,DG1,Yardımcı Malzeme,,,,,,
D00010,HIDROLIK FILTRE,03,DIGER,DG,Diğer,DG1,Yardımcı Malzeme,,,,,,
D00011,RULMAN 6205,03,DIGER,DG,Diğer,DG1,Yardımcı Malzeme,,,,,,
D00012,YAĞLAMA GRESI,03,DIGER,DG,Diğer,DG1,Yardımcı Malzeme,,,,,,
